"Longitude(x)"	"Latitude(y)"	"Clytolaema_rubricauda"	"Heliodoxa_aurescens"	"Heliodoxa_branickii"	"Heliodoxa_gularis"	"Heliodoxa_imperatrix"	"Heliodoxa_jacula"	"Heliodoxa_leadbeateri"	"Heliodoxa_rubinoides"	"Heliodoxa_schreibersii"	"Heliodoxa_xanthogonys"	"Hylonympha_macrocerca"	"Sternoclyta_cyanopectus"
"81"	-69.15	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"82"	-69.05	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"83"	-68.95	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"84"	-68.85	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"85"	-68.75	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"86"	-68.65	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"87"	-68.55	10.75	0	0	0	0	0	0	1	0	0	0	0	1
"88"	-68.45	10.75	0	0	0	0	0	0	0	0	0	0	0	1
"89"	-68.35	10.75	0	0	0	0	0	0	0	0	0	0	0	1
"90"	-72.75	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"91"	-72.65	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"92"	-72.55	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"93"	-70.75	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"94"	-70.65	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"95"	-70.55	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"96"	-70.45	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"97"	-70.35	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"98"	-70.25	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"99"	-70.15	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"100"	-70.05	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"101"	-69.95	10.65	0	0	0	0	0	0	1	0	0	0	0	0
"102"	-69.85	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"103"	-69.75	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"104"	-69.65	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"105"	-69.55	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"106"	-69.45	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"107"	-69.35	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"108"	-69.25	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"109"	-69.15	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"110"	-69.05	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"111"	-68.95	10.65	0	0	0	0	0	0	1	0	0	0	0	1
