SCINAME
Heliodoxa_aurescens6789
Heliodoxa_branickii1996
Heliodoxa_gularis5428
Heliodoxa_imperatrix12088
Heliodoxa_jacula11940
Heliodoxa_leadbeateri6036
Heliodoxa_rubinoides1651
Heliodoxa_schreibersii5440
Heliodoxa_xanthogonys7415
Hylonympha_macrocerca
Sternoclyta_cyanopectus
Clytolaema_rubricauda
